,item,data_lancamento,lancamento_entrada_qtd,lancamento_entrada_valor,lancamento_saida_qtd,lancamento_saida_valor,saldo_inicial_qtd,saldo_inicial_qtd,saldo_final_valor,saldo_final_qtd
0,80.03.104-1,2012-08-27,1232514.5620000002,2614259.0100000002,1188442.1648000004,2508363.32,132613.28,66780.0,238508.9700000002,110852.39719999977
1,81.30.019-4,2012-08-01,81185.0,1209002.6700000004,77225.0,1147662.0200000003,29296.57,2090.0,90637.2200000002,6050.0
2,82.10.355-4,2012-08-01,221099.9557,2687164.339999998,220985.1787000001,2680834.279999999,37093.87,3187.0,43423.929999999236,3301.7769999998854
3,82.70.372-1,2012-08-01,583326.3394999998,4795397.13,588141.5683000003,4827225.859999998,239738.95,29940.0,207910.22000000253,25124.771199999494
4,82.53.405-9,2012-08-01,911262.0605999997,4536441.080000001,901139.6575000002,4477648.230000002,71403.56,15716.0677,130196.40999999829,25838.470799999544
5,82.53.475-0,2012-08-01,1059503.4721000006,2864425.3100000005,1059747.8096999994,2853954.7399999993,65727.15,26685.59,76197.72000000114,26441.252400001278
6,82.60.353-0,2012-08-01,206315.0,1371290.5399999998,204919.0,1360956.5800000008,40155.46,6199.0,50489.419999998994,7595.0
7,82.63.660-9,2012-08-01,230412.86260000005,2472577.189999997,228888.34299999996,2450754.279999998,36500.18,3469.0921,58323.089999999385,4993.611700000096
8,82.81.160-5,2012-08-01,1010829.0793999999,2336964.8500000006,994879.1897999998,2288973.5100000002,36335.07,17407.3419,84326.41000000015,33357.23150000011
9,61.21.107-1,2012-08-02,3448.0,729145.41,3340.0,695375.7800000004,66516.91,344.0,100286.53999999969,452.0
10,62.51.311-0,2012-08-01,14753.0,1595266.7199999995,14419.0,1542514.3999999987,126920.51,1238.0,179672.83000000077,1572.0
11,63.41.311-9,2012-08-01,5408.0,460445.57000000007,5576.0,466716.7400000002,63834.04,812.0,57562.86999999982,644.0
12,66.31.174-0,2012-08-01,6301.0,660898.4900000002,5994.0,623840.39,27225.37,279.0,64283.470000000205,586.0
13,69.51.202-0,2012-08-01,4382.0,1374977.8199999998,4114.0,1278792.7499999998,61695.1,212.0,157880.17000000016,480.0
14,70.25.162-0,2012-08-03,3739.0,824720.9700000002,3581.0,786931.3299999997,71080.7,330.0,108870.34000000043,488.0
15,71.15.272-3,2012-08-01,2460.0,629580.2200000001,1994.0,505143.52999999997,28158.84,115.0,152595.5300000001,581.0
16,74.62.201-1,2012-08-01,637.0,917599.8300000003,551.0,788751.9499999996,9695.39,7.0,138543.27000000072,93.0
17,76.26.200-4,2012-08-02,3544.0,1102336.9199999997,2961.0,907710.1000000002,62772.55,216.0,257399.36999999953,799.0
18,77.33.242-1,2012-08-02,1300.0,1072480.7599999998,1202.0,976215.4,128684.67,165.0,224950.02999999968,263.0
19,10.01.206-6,2012-08-01,215996.26829999994,444261.24999999994,217800.26459999997,446727.04,8238.98,4336.7272,5773.189999999944,2532.730899999966
20,10.01.369-0,2012-08-20,17902.458599999998,36257.87,14375.621200000001,31012.600000000006,6392.24,2387.1626,11637.509999999995,5913.999999999996
21,47.05.018-9,2012-08-02,28335.0,406761.04000000027,28105.0,402731.63999999984,160.5,12.0,4189.900000000431,242.0
22,47.11.014-9,2012-08-01,205013.0,205230.29999999996,205571.0,174778.6,17669.48,5668.0,48121.179999999964,5110.0
23,JVB-301-01,2012-08-01,59221.0,377736.78,58253.0,370864.07,10654.2,1669.0,17526.910000000033,2637.0
24,41.01.053-3,2012-08-01,64911.0,21220.61,51733.0,14117.350000000011,3157.55,26382.0,10260.809999999989,39560.0
25,41.02.051-2,2012-08-01,2244414.0,184358.34000000005,2256761.0,184428.78999999992,5333.46,70084.0,5263.010000000126,57737.0
26,41.26.232-0,2012-08-01,12622.0,263926.20999999996,12669.0,263865.67,11562.94,593.0,11623.479999999981,546.0
27,41.67.008-8,2012-08-01,274360.0,992585.72,276156.0,996877.3700000002,21283.82,6395.0,16992.169999999693,4599.0
28,41.73.019-6,2012-09-20,31778.0,112295.58,26516.0,95172.05000000002,0.0,0.0,17123.529999999984,5262.0
